method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Standard MC,European Call,european,0.0002,0.10465454138036005,0.10450583572185568,0.000148705658504375,0.0001407332499705491,0.00020474183871034484,153.8274781247601,17965826048,,[1096547],1096547,16384.0,True,2,,,
Original Giles MLMC,European Call,european,0.0002,0.10436123351698902,0.10450583572185568,0.00014460220486665898,0.00013942942664753238,0.0002008739969920418,0.027753999922424555,3685146,3.0,"[1590811, 132475, 31598, 10000]",1764884,,True,2,"[0.1019877313614085, 0.0020628299507623594, 0.0002504384964727774, 6.023370834538482e-05]","[0.016093412954766195, 0.0004465784875435282, 0.0001033597450817622, 2.6819569258145774e-05]",
Modified MLMC,European Call,european,0.0002,0.10464088979233983,0.10450583572185568,0.00013505407048415574,0.00014045430889934423,0.00019485126338500275,0.02573895826935768,3677008,3.0,"[1556593, 133159, 32731, 10000]",1732483,,True,2,"[0.10209834632540347, 0.0021265265149628043, 0.00029944837849991615, 0.0001165685734736461]","[0.016113632818842025, 0.0004453766371603099, 0.00010780813726602615, 2.737092508694184e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0005,0.10397017279626036,0.10450583572185568,0.0005356629255953149,0.00036051650134075533,0.00064568329511945,5.6884720409289,680587264,,[166159],166159,4096.0,True,2,,,
Original Giles MLMC,European Call,european,0.0005,0.10478921085772472,0.10450583572185568,0.0002833751358690406,0.0003332211640580215,0.0004374217779271856,0.004369165748357773,502283,2.0,"[214248, 17607, 10000]",241855,,True,2,"[0.10257429131860535, 0.0019665574731269494, 0.00024836206599241565]","[0.016188756041994955, 0.0004348118511590123, 0.0001078012049163021]",
Modified MLMC,European Call,european,0.0005,0.104974490441713,0.10450583572185568,0.00046865471985732543,0.00033752520290164284,0.0005775469756118054,0.0063525838777422905,496461,2.0,"[208741, 17544, 10000]",236285,,True,2,"[0.1025099499271987, 0.0022525636075783, 0.00021197690693599603]","[0.016201583899202784, 0.0004553943648472539, 0.00010350267188742974]","[6, 4, 4]"
Standard MC,European Call,european,0.001,0.10423745020775144,0.10450583572185568,0.0002683855141042413,0.0006981958619092398,0.0007480028380749529,0.491457334253937,45423616,,[44359],44359,1024.0,True,2,,,
Original Giles MLMC,European Call,european,0.001,0.10423131864072907,0.10450583572185568,0.00027451708112660733,0.000596431161438773,0.0006565742594447912,0.003274916671216488,302739,2.0,"[52739, 10000, 10000]",72739,,True,2,"[0.1018392203574705, 0.0020874947880047392, 0.0003046034952538243]","[0.015989430034482506, 0.00042107070643150694, 0.00010442680191446007]",
Modified MLMC,European Call,european,0.001,0.10439173003746699,0.10450583572185568,0.00011410568438868784,0.0006050309015611954,0.0006156967590086566,0.004023334011435509,301540,2.0,"[51540, 10000, 10000]",71540,,True,2,"[0.10177459438359417, 0.0023442986306263557, 0.00027283702324647685]","[0.01594573354312263, 0.00045970598118627755, 0.0001070619917502182]","[5, 4, 4]"
Standard MC,Asian Call,asian,5e-05,0.05767662605632407,0.057427662839515906,0.0002489632168081665,3.554315124182316e-05,0.00025148757210579855,3171.0200762921013,330334208000,,[5040500],5040500,65536.0,True,2,,,
